,YearMonth,fiat_type,Buy,Sell
0,2022-04,USD,745.99,1236.1
1,2022-04,UYU,378752.36,504450.67
2,2022-05,USD,1618.07,485.5
3,2022-05,UYU,693755.24,893087.62
4,2022-06,UYU,758941.48,831871.08
5,2022-07,USD,4116.54,0.0
6,2022-07,UYU,287487.46,317366.27
7,2022-08,USD,23782.989999999998,25138.75
8,2022-08,UYU,29711.47,109321.8
9,2022-09,USD,16420.01,26727.329999999998
10,2022-09,UYU,43438.24,495187.38
11,2022-10,USD,6960.86,7173.13
12,2022-10,UYU,0.0,366596.37
13,2022-11,USD,4099.9,1939.46
14,2022-11,UYU,0.0,99752.0
15,2022-12,USD,16257.53,9412.85
16,2022-12,UYU,161.92,29026.0
17,2023-01,USD,74263.13,540.0
18,2023-01,UYU,101768.33,0.0
19,2023-02,USD,52275.24,0.0
20,2023-03,USD,52827.65,0.0
21,2023-03,UYU,98968.31,0.0
22,2023-04,USD,24821.329999999998,100.0
23,2023-04,UYU,0.0,562416.41
24,2023-05,USD,31815.47,43654.49
25,2023-05,UYU,0.0,169072.2
26,2023-06,USD,68747.06,69530.24
27,2023-07,USD,60450.340000000004,35906.26
28,2023-08,USD,88463.48,16095.01
29,2023-09,USD,50907.7,15707.14
30,2023-10,USD,56709.72,42684.01
31,2023-11,USD,15911.48,85887.58
32,2023-11,UYU,0.0,337286.48
33,2023-12,USD,33809.42,141353.33
34,2023-12,UYU,0.0,1391607.96
35,2024-01,USD,33179.08,129393.84
36,2024-01,UYU,0.0,4740.0
37,2024-02,USD,62102.2,101512.57
38,2024-03,USD,129010.84,128824.05
39,2024-03,UYU,0.0,1599.6799999999998
40,2024-04,USD,74240.42,101991.58
41,2024-05,USD,82676.94,79050.86
42,2024-06,USD,15667.68,20851.18
43,2024-07,USD,29780.23,33245.35
44,2024-08,USD,5877.360000000001,10550.81
45,2024-09,USD,1293.7,15222.04
46,2024-10,USD,15448.74,23534.32
47,2024-12,USD,8698.039999999999,16057.0
48,2025-01,USD,731.95,5336.0
49,2025-03,USD,25008.82,1021.0
50,2025-03,UYU,38355.86,1581783.35
51,2025-04,USD,49095.92,0.0
52,2025-04,UYU,0.0,2153389.85
53,2025-05,USD,9838.23,6335.6
54,2025-05,UYU,117129.13,513138.65
