YearMonthStr,fiat_type,Buy,Sell
2022-04,USD,745.99,1236.1
2022-04,UYU,378752.36,504450.67
2022-05,USD,1618.0700000000002,485.5
2022-05,UYU,693755.2400000001,893087.62
2022-06,UYU,758941.4799999999,831871.08
2022-07,USD,4116.54,0.0
2022-07,UYU,287487.46000000014,317366.27
2022-08,USD,23782.989999999998,25138.750000000004
2022-08,UYU,29711.47,109321.8
2022-09,USD,16420.01,26727.330000000005
2022-09,UYU,43438.24,495187.38
2022-10,USD,6960.86,7173.129999999999
2022-10,UYU,0.0,366596.37
2022-11,USD,4099.900000000001,1939.4599999999998
2022-11,UYU,0.0,99752.0
2022-12,USD,16257.530000000004,9412.85
2022-12,UYU,161.92,29026.0
2023-01,USD,74263.12999999998,540.0
2023-01,UYU,101768.33,0.0
2023-02,USD,52275.240000000005,0.0
2023-03,USD,52827.64999999999,0.0
2023-03,UYU,98968.31,0.0
2023-04,USD,24821.33,100.0
2023-04,UYU,0.0,562416.4099999999
2023-05,USD,31815.470000000005,43654.49
2023-05,UYU,0.0,169072.2
2023-06,USD,68747.06000000003,69530.24
2023-07,USD,60450.340000000026,35906.26
2023-08,USD,88463.47999999997,16095.009999999998
2023-09,USD,50907.70000000001,15707.14
2023-10,USD,56709.72000000001,42684.009999999995
2023-11,USD,15911.48,85887.58
2023-11,UYU,0.0,337286.48
2023-12,USD,33809.42,141353.33000000002
2023-12,UYU,0.0,1391607.9600000002
2024-01,USD,33179.08,129393.84
2024-01,UYU,0.0,4740.0
2024-02,USD,62102.200000000004,101512.57
2024-03,USD,129010.84000000003,128824.05
2024-03,UYU,0.0,1599.6799999999998
2024-04,USD,74240.42000000001,101991.57999999999
2024-05,USD,82676.94000000003,79050.86
2024-06,USD,15667.680000000002,20851.18
2024-07,USD,29780.229999999996,33245.35
2024-08,USD,5877.360000000001,10550.810000000001
2024-09,USD,1293.7,15222.04
2024-10,USD,15448.740000000005,23534.32
2024-12,USD,8698.039999999999,16057.0
2025-01,USD,731.95,5336.0
2025-03,USD,25008.819999999996,1021.0
2025-03,UYU,38355.86,1581783.35
2025-04,USD,49095.92000000002,0.0
2025-04,UYU,0.0,2153389.8500000006
2025-05,USD,9838.229999999998,6335.6
2025-05,UYU,117129.13,513138.65
